-- Startup on: Thursday, May 15, 2025 11:44:16 AM --
sequence_number	time	processID	unique_processID	stack_level	operation_type	operation	operation_parameters	form_event	stack_opening_sequence_number	stack_level_execution_time
973	2025-05-15T14:37:16.378	26	5162	1	2	Sur connexion Web	"/r3/metadata";"GET /r3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	970	51
974	2025-05-15T14:37:16.378	27	5163	1	2	Compiler_Web		0		
975	2025-05-15T14:37:16.379	27	5163	2	1	604	DAX_BinaryFile	0		
976	2025-05-15T14:37:16.379	27	5163	2	1	604	DAX_BinaryFile	0	975	6
977	2025-05-15T14:37:16.379	27	5163	1	2	Compiler_Web		0	974	40
978	2025-05-15T14:37:16.379	27	5163	1	2	Sur authentification Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
979	2025-05-15T14:37:16.379	27	5163	1	2	Sur authentification Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	978	44
980	2025-05-15T14:37:16.380	27	5163	1	2	Sur connexion Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
981	2025-05-15T14:37:16.380	27	5163	2	1	494		0		
982	2025-05-15T14:37:16.380	27	5163	2	1	494		0	981	1
983	2025-05-15T14:37:16.380	27	5163	1	2	Sur connexion Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	980	48
984	2025-05-15T14:37:16.380	28	5164	1	2	Compiler_Web		0		
985	2025-05-15T14:37:16.380	28	5164	2	1	604	DAX_BinaryFile	0		
986	2025-05-15T14:37:16.380	28	5164	2	1	604	DAX_BinaryFile	0	985	6
987	2025-05-15T14:37:16.380	28	5164	1	2	Compiler_Web		0	984	42
988	2025-05-15T14:37:16.381	28	5164	1	2	Sur authentification Web	"/baseR3/metadata";"GET /baseR3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
989	2025-05-15T14:37:16.381	28	5164	1	2	Sur authentification Web	"/baseR3/metadata";"GET /baseR3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	988	20
990	2025-05-15T14:37:16.381	28	5164	1	2	Sur connexion Web	"/baseR3/metadata";"GET /baseR3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
991	2025-05-15T14:37:16.381	28	5164	2	1	494		0		
992	2025-05-15T14:37:16.381	28	5164	2	1	494		0	991	1
993	2025-05-15T14:37:16.381	28	5164	1	2	Sur connexion Web	"/baseR3/metadata";"GET /baseR3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	990	45
994	2025-05-15T14:37:16.381	29	5165	1	2	Compiler_Web		0		
995	2025-05-15T14:37:16.381	29	5165	2	1	604	DAX_BinaryFile	0		
996	2025-05-15T14:37:16.381	29	5165	2	1	604	DAX_BinaryFile	0	995	6
997	2025-05-15T14:37:16.381	29	5165	1	2	Compiler_Web		0	994	41
998	2025-05-15T14:37:16.382	29	5165	1	2	Sur authentification Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
999	2025-05-15T14:37:16.382	29	5165	1	2	Sur authentification Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	998	19
1000	2025-05-15T14:37:16.382	29	5165	1	2	Sur connexion Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
1001	2025-05-15T14:37:16.382	29	5165	2	1	494		0		
1002	2025-05-15T14:37:16.382	29	5165	2	1	494		0	1001	1
1003	2025-05-15T14:37:16.382	29	5165	1	2	Sur connexion Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	1000	40
1004	2025-05-15T14:37:16.384	32	5166	1	2	Compiler_Web		0		
1005	2025-05-15T14:37:16.384	32	5166	2	1	604	DAX_BinaryFile	0		
1006	2025-05-15T14:37:16.384	32	5166	2	1	604	DAX_BinaryFile	0	1005	6
1007	2025-05-15T14:37:16.384	32	5166	1	2	Compiler_Web		0	1004	53
1008	2025-05-15T14:37:16.385	32	5166	1	2	Sur authentification Web	"/baseR2/metadata";"GET /baseR2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
1009	2025-05-15T14:37:16.385	32	5166	1	2	Sur authentification Web	"/baseR2/metadata";"GET /baseR2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	1008	49
1010	2025-05-15T14:37:16.386	32	5166	1	2	Sur connexion Web	"/baseR2/metadata";"GET /baseR2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
1011	2025-05-15T14:37:16.386	32	5166	2	1	494		0		
1012	2025-05-15T14:37:16.386	32	5166	2	1	494		0	1011	1
1013	2025-05-15T14:37:16.386	32	5166	1	2	Sur connexion Web	"/baseR2/metadata";"GET /baseR2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	1010	71
1014	2025-05-15T14:37:16.497	5	5143	0	8	297576703590E645BF841FC1C628AB1F	Process Web	0	794	1059197
1015	2025-05-15T14:37:16.528	6	5144	0	8	9E5FD30F1C39FD4780B88E227033ACA7	Process Web	0	805	1018010
1016	2025-05-15T14:37:16.562	9	5145	0	8	B9E47059C8E0374895C62E6801443A58	Process Web	0	816	1019316
1017	2025-05-15T14:37:16.592	10	5146	0	8	39A4035A40E40C46AC9D10ADBE935AFC	Process Web	0	827	1020691
1018	2025-05-15T14:37:16.667	11	5147	0	8	2C60AD86DB933A4D94AC61FA8D36467C	Process Web	0	838	1069038
1019	2025-05-15T14:37:16.667	12	5148	0	8	879DA83EB0F94F41A9944201FFCABD7C	Process Web	0	849	1042293
1020	2025-05-15T14:37:16.668	13	5149	0	8	C40B9543CE838E49A5CB5B0C3C16AE36	Process Web	0	860	1016442
1021	2025-05-15T14:37:16.845	14	5150	0	8	BAD9F5C24593E7478D52AD256BDA23D5	Process Web	0	871	1166868
1022	2025-05-15T14:37:17.401	26	5162	0	8	1B2A631A13FCD84F9A202E946D073774	Process Web	0	919	1036864
1023	2025-05-15T14:37:17.402	27	5163	0	8	46C0D8F2A5666247BB705BE1D509FB71	Process Web	0	920	1036726
1024	2025-05-15T14:37:17.402	28	5164	0	8	06BE7F667E064B4095AAA76AECD7113A	Process Web	0	921	1035792
1025	2025-05-15T14:37:17.402	29	5165	0	8	80CB6588A05CAF4994D803E154265DF0	Process Web	0	922	1035512
1026	2025-05-15T14:37:17.403	32	5166	0	8	AC0451659E9EB345A7459468552F5FB5	Process Web	0	923	1035039
1027	2025-05-15T14:37:17.870	19	5155	0	8	209EF34E7FAD53499D5908E0F41AFA95	Process Web	0	882	1531134
1028	2025-05-15T14:37:17.871	20	5156	0	8	D4C51004DF059C40948BFFAF838C4B8D	Process Web	0	883	1530895
1029	2025-05-15T14:37:17.871	21	5157	0	8	05EFB817247C494D8E945C28DAA77A9E	Process Web	0	884	1530296
1030	2025-05-15T14:37:17.886	22	5158	0	8	1991471B10C8694589A7DB96CE4F6334	Process Web	0	915	1525912
1031	2025-05-15T14:37:17.887	23	5159	0	8	E7A048A914E4F94285F403CA6CA6F903	Process Web	0	916	1525525
1032	2025-05-15T14:37:17.887	24	5160	0	8	3C30B2923B3D3F439F6488DA99E863E8	Process Web	0	917	1524568
1033	2025-05-15T14:37:17.887	25	5161	0	8	D3D895932ADF2647A49D006357B54D44	Process Web	0	918	1523389
1052	2025-05-15T14:40:20.672	5	5167	0	8		Reused spare process	0		
1057	2025-05-15T14:40:26.427	6	5168	0	8		Reused spare process	0		
1059	2025-05-15T14:40:26.463	9	5169	0	8		Reused spare process	0		
1063	2025-05-15T14:40:26.499	9	5169	0	8		Reused spare process	0	1059	36571
1070	2025-05-15T14:40:52.123	5	5167	0	8		Reused spare process	0	1052	31450657
1071	2025-05-15T14:40:52.210	6	5168	0	8		Reused spare process	0	1057	25783219
1074	2025-05-15T14:40:56.537	5	5170	0	8		Reused spare process	0		
1077	2025-05-15T14:40:56.583	6	5171	0	8		P_4	0		
1078	2025-05-15T14:40:56.584	6	5171	1	2	Sur ouverture connexion serveur	346110208;435794016;0	0		
1079	2025-05-15T14:40:56.584	6	5171	2	1	494		0		
1080	2025-05-15T14:40:56.584	6	5171	2	1	494		0	1079	3
1081	2025-05-15T14:40:56.584	6	5171	1	2	Sur ouverture connexion serveur	346110208;435794016;0	0	1078	58
1086	2025-05-15T14:40:56.613	6	5171	1	2	Sur fermeture connexion serveur	346110208;435794016;0	0		
1087	2025-05-15T14:40:56.613	6	5171	1	2	Sur fermeture connexion serveur	346110208;435794016;0	0	1086	13
1088	2025-05-15T14:40:56.613	6	5171	0	8		P_4	0	1077	29812
1091	2025-05-15T14:41:22.236	5	5170	0	8		Reused spare process	0	1074	25698086
1103	2025-05-15T14:58:46.957	5	5172	0	8		Reused spare process	0		
1174	2025-05-15T14:59:12.846	5	5172	0	8		Reused spare process	0	1103	25888241
